"ProbeID","GeneSymbol","ModuleColor","kME"
"A_23_P154522","MTA3","turquoise",1
"A_33_P3610406","A_33_P3610406","turquoise",1
"A_32_P189592","USHBP1","turquoise",1
"A_23_P252471","PECAM1","turquoise",1
"A_23_P144384","GALNT7","turquoise",1
"A_32_P310335","JAM2","turquoise",1
"A_33_P3251901","A_33_P3251901","blue",1
"A_23_P99253","LIN7A","turquoise",1
"A_24_P194881","A_24_P194881","turquoise",1
"A_24_P90216","LGR4","turquoise",1
"A_23_P132763","VGLL3","turquoise",1
"A_33_P3312466","A_33_P3312466","turquoise",1
"A_33_P3210561","A_33_P3210561","turquoise",1
"A_23_P10121","SFRP1","turquoise",1
"A_23_P119835","NLRC4","turquoise",1
"A_23_P118254","FOXF1","turquoise",1
"A_23_P26557","TEDC2","turquoise",1
"A_32_P43349","LETR1","turquoise",1
"A_24_P366607","SERTM1","turquoise",1
"A_23_P166823","TNNC1","turquoise",1
"A_32_P13151","A_32_P13151","turquoise",1
"A_32_P101917","A_32_P101917","turquoise",1
"A_23_P6818","SEMA3G","turquoise",1
"A_33_P3347343","A_33_P3347343","turquoise",1
"A_23_P253896","NPNT","turquoise",1
"A_24_P945113","ACVRL1","turquoise",1
"A_23_P351148","SH2D1B","turquoise",1
"A_23_P169097","CCN4","turquoise",1
"A_23_P45185","VEGFD","turquoise",1
"A_23_P26037","FRMD5","turquoise",1
"A_24_P726336","A_24_P726336","turquoise",1
"A_24_P38276","FZD1","turquoise",1
"A_33_P3381647","A_33_P3381647","turquoise",1
"A_23_P209700","NMUR1","turquoise",1
"A_33_P3354374","A_33_P3354374","turquoise",1
"A_23_P111860","RADIL","turquoise",1
"A_33_P3284838","A_33_P3284838","turquoise",1
"A_33_P3344911","A_33_P3344911","turquoise",1
"A_24_P245838","MGAT3","turquoise",1
"A_33_P3384058","A_33_P3384058","turquoise",1
"A_23_P161439","ADIRF","turquoise",1
"A_23_P75529","PKNOX2","turquoise",1
"A_23_P152995","SLC6A4","turquoise",1
"A_23_P391228","MANEAL","turquoise",1
"A_33_P3392882","A_33_P3392882","turquoise",1
"A_23_P208866","GMFG","turquoise",1
"A_33_P3303810","A_33_P3303810","turquoise",1
"A_23_P150457","LYVE1","turquoise",1
"A_23_P31816","DEFA3","turquoise",1
"A_33_P3275702","A_33_P3275702","turquoise",1
"A_23_P38271","MYH2","turquoise",1
"A_24_P187056","A_24_P187056","turquoise",1
"A_23_P204947","GJB2","turquoise",1
"A_33_P3346483","A_33_P3346483","turquoise",1
"A_23_P126706","ANGPTL1","turquoise",1
"A_23_P15450","TMEM100","turquoise",1
"A_23_P211504","KDELR3","blue",1
"A_23_P53126","LMO2","turquoise",1
"A_23_P144348","SLIT2","turquoise",1
"A_33_P3293446","A_33_P3293446","turquoise",1
"A_23_P85269","TTN","turquoise",1
"A_23_P308974","ADAMTSL3","turquoise",1
"A_23_P12884","GRK5","turquoise",1
"A_33_P3306110","A_33_P3306110","turquoise",1
"A_33_P3307495","A_33_P3307495","blue",1
"A_23_P50368","OSCAR","turquoise",1
"A_23_P88069","LHFPL6","turquoise",1
"A_33_P3331856","A_33_P3331856","turquoise",1
"A_23_P145631","GIMAP6","turquoise",1
"A_23_P85800","CD52","turquoise",1
"A_23_P70398","VEGFA","turquoise",1
"A_23_P349566","A_23_P349566","turquoise",1
"A_23_P320250","MYO19","turquoise",1
"A_23_P207354","HIGD1B","turquoise",1
"A_33_P3291998","A_33_P3291998","turquoise",1
"A_23_P112289","TMOD1","turquoise",1
"A_23_P214897","AKAP12","turquoise",1
"A_23_P103932","FGR","turquoise",1
"A_23_P368718","SPRYD7","turquoise",1
"A_23_P151232","A_23_P151232","turquoise",1
"A_33_P3219651","A_33_P3219651","turquoise",1
"A_33_P3344521","A_33_P3344521","turquoise",1
"A_23_P205098","PDS5B","turquoise",1
"A_24_P298027","AXIN2","turquoise",1
"A_23_P416711","ST6GALNAC3","turquoise",1
"A_23_P202837","CCND1","turquoise",1
"A_33_P3299416","A_33_P3299416","turquoise",1
"A_23_P103104","MFNG","turquoise",1
"A_23_P112874","GPC5","turquoise",1
"A_33_P3219850","A_33_P3219850","turquoise",1
"A_33_P3794213","A_33_P3794213","turquoise",1
"A_23_P207911","TRPV2","turquoise",1
"A_24_P406060","RNF144B","turquoise",1
"A_33_P3422822","A_33_P3422822","turquoise",1
"A_23_P344421","ROBO4","turquoise",1
"A_33_P3283824","A_33_P3283824","turquoise",1
"A_33_P3211818","A_33_P3211818","turquoise",1
"A_33_P3234202","A_33_P3234202","turquoise",1
"A_24_P940411","DIPK2B","turquoise",1
"A_33_P3401902","A_33_P3401902","turquoise",1
"A_23_P141555","TBX21","turquoise",1
"A_32_P56001","CD93","turquoise",1
"A_23_P132718","SEMA3B","blue",1
"A_23_P59261","TPBG","turquoise",1
"A_23_P119562","CFD","turquoise",1
"A_23_P161135","LEPR","turquoise",1
"A_23_P42695","GGCT","turquoise",1
"A_24_P944756","NECAB1","turquoise",1
"A_23_P52227","GDF10","turquoise",1
"A_23_P156890","TCF21","turquoise",1
"A_33_P3361067","A_33_P3361067","turquoise",1
"A_23_P414913","GLIPR2","turquoise",1
"A_23_P111583","CD36","turquoise",1
"A_33_P3232498","A_33_P3232498","blue",1
"A_23_P57417","MMP11","blue",1
"A_33_P3396578","A_33_P3396578","turquoise",1
"A_33_P3347291","A_33_P3347291","turquoise",1
"A_24_P337000","TTC7A","blue",1
"A_33_P3423854","A_33_P3423854","turquoise",1
"A_23_P154037","AOX1","turquoise",1
"A_33_P3230990","A_33_P3230990","turquoise",1
"A_23_P35871","E2F8","turquoise",1
"A_23_P11800","CAMK2N1","turquoise",1
"A_23_P167389","ARAP3","turquoise",1
"A_23_P208493","LILRB2","turquoise",1
"A_32_P150086","A_32_P150086","turquoise",1
"A_23_P144807","SEPTIN8","turquoise",1
"A_33_P3219279","A_33_P3219279","turquoise",1
"A_33_P3238820","A_33_P3238820","turquoise",1
"A_33_P3335915","A_33_P3335915","turquoise",1
"A_24_P253003","WNT11","turquoise",1
"A_33_P3329433","A_33_P3329433","blue",1
"A_23_P108294","PLPP2","turquoise",1
"A_33_P3248394","A_33_P3248394","turquoise",1
"A_32_P70158","LILRB3","turquoise",1
"A_24_P400842","ADAMTSL3","blue",1
"A_33_P3282556","A_33_P3282556","turquoise",1
"A_33_P3372727","A_33_P3372727","turquoise",1
"A_33_P3325497","A_33_P3325497","turquoise",1
"A_23_P133123","MND1","turquoise",1
"A_23_P156408","A_23_P156408","turquoise",1
"A_24_P682579","A_24_P682579","turquoise",1
"A_23_P46131","FAM110D","turquoise",1
"A_24_P132383","GIMAP8","turquoise",1
"A_33_P3252781","A_33_P3252781","turquoise",1
"A_33_P3212257","A_33_P3212257","turquoise",1
"A_33_P3249976","A_33_P3249976","turquoise",1
"A_23_P80491","RBP2","turquoise",1
"A_23_P500400","ABCA6","turquoise",1
"A_23_P109072","SALL4","turquoise",1
"A_33_P3381338","A_33_P3381338","turquoise",1
"A_33_P3246838","A_33_P3246838","turquoise",1
"A_23_P1361","ALDH18A1","blue",1
"A_23_P58588","SLIT3","turquoise",1
"A_23_P161727","HSPB2","turquoise",1
"A_24_P120907","PGM5","turquoise",1
"A_23_P16944","SDC1","turquoise",1
"A_23_P52761","MMP7","turquoise",1
"A_23_P301414","ERG","turquoise",1
"A_23_P118834","TOP2A","blue",1
"A_23_P23669","PALMD","turquoise",1
"A_33_P3333360","A_33_P3333360","turquoise",1
"A_33_P3353737","A_33_P3353737","turquoise",1
"A_24_P244706","SSTR1","turquoise",1
"A_23_P49155","CDH3","turquoise",1
"A_33_P3325952","A_33_P3325952","turquoise",1
"A_23_P116898","A2M","turquoise",1
"A_33_P3300092","A_33_P3300092","turquoise",1
"A_24_P843020","A_24_P843020","turquoise",1
"A_33_P3325753","A_33_P3325753","turquoise",1
"A_33_P3303717","A_33_P3303717","turquoise",1
"A_33_P3322999","A_33_P3322999","turquoise",1
"A_33_P3218649","A_33_P3218649","turquoise",1
"A_24_P274831","GIMAP7","turquoise",1
"A_32_P109604","A_32_P109604","turquoise",1
"A_23_P113382","A_23_P113382","turquoise",1
"A_23_P342727","STARD13","turquoise",1
"A_33_P3272563","A_33_P3272563","turquoise",1
"A_23_P29495","CTNNB1","turquoise",1
"A_23_P66881","RGS9","turquoise",1
"A_23_P146233","LPL","turquoise",1
"A_24_P105191","HS6ST2","turquoise",1
"A_32_P224525","COL6A6","turquoise",1
"A_33_P3329378","A_33_P3329378","turquoise",1
"A_33_P3356462","A_33_P3356462","turquoise",1
"A_33_P3317580","A_33_P3317580","turquoise",1
"A_23_P156708","TNXB","turquoise",1
"A_24_P391230","CYYR1","turquoise",1
"A_23_P83028","RECK","turquoise",1
"A_33_P3307363","A_33_P3307363","turquoise",1
"A_23_P104734","STT3A","blue",1
"A_23_P121702","OCIAD2","turquoise",1
"A_23_P26847","SOX9","turquoise",1
"A_23_P204736","GPD1","turquoise",1
"A_33_P3299656","A_33_P3299656","turquoise",1
"A_33_P3275055","A_33_P3275055","turquoise",1
"A_23_P211850","ABHD6","turquoise",1
"A_33_P3280237","A_33_P3280237","turquoise",1
"A_24_P69095","ENC1","blue",1
"A_33_P3350621","A_33_P3350621","turquoise",1
"A_23_P400515","KIF17","turquoise",1
"A_23_P200404","AK2","turquoise",1
"A_33_P3323564","A_33_P3323564","turquoise",1
"A_23_P322","EFNA4","turquoise",1
"A_33_P3379326","A_33_P3379326","turquoise",1
"A_23_P425681","CCK","turquoise",1
"A_33_P3268304","A_33_P3268304","turquoise",1
"A_23_P256205","ABLIM3","turquoise",1
"A_23_P375","CDCA8","blue",1
"A_33_P3389599","A_33_P3389599","turquoise",1
"A_23_P369479","MSI2","turquoise",1
"A_33_P3381483","A_33_P3381483","turquoise",1
"A_23_P170888","DPP6","turquoise",1
"A_24_P133905","CCL23","turquoise",1
"A_23_P46781","ITGA8","turquoise",1
"A_33_P3416682","A_33_P3416682","blue",1
"A_23_P128993","GZMH","turquoise",1
"A_33_P3230264","A_33_P3230264","turquoise",1
"A_23_P429950","ANOS1","turquoise",1
"A_23_P13065","ZDHHC13","blue",1
"A_23_P57379","CDC45","blue",1
"A_24_P209455","GIMAP4","turquoise",1
"A_33_P3307267","A_33_P3307267","turquoise",1
"A_23_P93772","HOXA5","turquoise",1
"A_23_P26954","VAT1","blue",1
"A_23_P114232","PRDX4","turquoise",1
"A_23_P123393","KCNQ3","turquoise",1
"A_23_P8640","GPER1","turquoise",1
"A_23_P19938","KDELR2","blue",1
"A_33_P3251562","A_33_P3251562","turquoise",1
"A_33_P3410654","A_33_P3410654","turquoise",1
"A_23_P44195","MSI2","turquoise",1
"A_24_P127691","A_24_P127691","turquoise",1
"A_33_P3214199","A_33_P3214199","blue",1
"A_23_P148584","DOCK11","turquoise",1
"A_33_P3402963","A_33_P3402963","turquoise",1
"A_23_P74115","RAD54L","blue",1
"A_23_P57306","CHAF1B","turquoise",1
"A_33_P3320197","A_33_P3320197","turquoise",1
"A_33_P3339253","A_33_P3339253","turquoise",1
"A_23_P38735","CDH19","turquoise",1
"A_23_P13102","CASP12","turquoise",1
"A_23_P204208","KLRD1","turquoise",1
"A_23_P64879","KCNJ8","turquoise",1
"A_33_P3251552","A_33_P3251552","turquoise",1
"A_23_P501007","EFEMP1","turquoise",1
"A_24_P10214","STXBP6","turquoise",1
"A_23_P106145","ERO1A","blue",1
"A_24_P260101","MME","turquoise",1
"A_23_P356684","ANLN","blue",1
"A_24_P165864","P2RY14","turquoise",1
"A_23_P211207","ADARB1","turquoise",1
"A_23_P72668","CAVIN2","turquoise",1
"A_33_P3403153","A_33_P3403153","turquoise",1
"A_33_P3263569","A_33_P3263569","turquoise",1
"A_23_P374689","GAD1","turquoise",1
"A_32_P33114","A_32_P33114","turquoise",1
"A_33_P3335910","A_33_P3335910","blue",1
"A_33_P3210085","A_33_P3210085","blue",1
"A_23_P19650","VIP","turquoise",1
"A_32_P66881","TLR4","turquoise",1
"A_33_P3351150","A_33_P3351150","blue",1
"A_32_P5276","ARHGEF26","turquoise",1
"A_23_P161156","ZNF438","turquoise",1
"A_23_P94103","SCARA5","turquoise",1
"A_23_P113793","ZBED2","turquoise",1
"A_23_P171074","ITM2A","turquoise",1
"A_33_P3284621","A_33_P3284621","turquoise",1
"A_23_P7412","BTNL8","turquoise",1
"A_23_P67661","COX7A1","turquoise",1
"A_33_P3346073","A_33_P3346073","turquoise",1
"A_23_P121596","PPBP","turquoise",1
"A_33_P3240507","A_33_P3240507","turquoise",1
"A_33_P3411975","A_33_P3411975","turquoise",1
"A_32_P217750","IL3RA","turquoise",1
"A_23_P14302","A_23_P14302","turquoise",1
"A_23_P80098","GART","blue",1
"A_23_P89941","CDKN2D","turquoise",1
"A_23_P64058","RASGRP2","turquoise",1
"A_33_P3419696","A_33_P3419696","turquoise",1
"A_33_P3867584","A_33_P3867584","turquoise",1
"A_33_P3274930","A_33_P3274930","turquoise",1
"A_33_P3365357","A_33_P3365357","turquoise",1
"A_23_P125265","KPNA2","turquoise",1
"A_23_P96325","ERCC6L","blue",1
"A_23_P14184","THSD1","turquoise",1
"A_24_P319374","GPA33","turquoise",1
"A_23_P54996","TEX14","turquoise",1
"A_33_P3235990","A_33_P3235990","turquoise",1
"A_32_P143000","A_32_P143000","turquoise",1
"A_32_P6015","MNX1","turquoise",1
"A_23_P401106","PDE2A","turquoise",1
"A_23_P252556","ADGRB3","turquoise",1
"A_33_P3718699","A_33_P3718699","turquoise",1
"A_33_P3240328","A_33_P3240328","turquoise",1
"A_23_P333705","NEK3","turquoise",1
"A_33_P3392187","A_33_P3392187","turquoise",1
"A_23_P311901","ATP10B","turquoise",1
"A_33_P3289820","A_33_P3289820","blue",1
"A_23_P381261","ADCY4","turquoise",1
"A_33_P3256920","A_33_P3256920","turquoise",1
"A_23_P571","SLC2A1","blue",1
"A_33_P3354414","A_33_P3354414","turquoise",1
"A_23_P1331","COL13A1","turquoise",1
"A_33_P3393200","A_33_P3393200","turquoise",1
"A_24_P896205","A_24_P896205","turquoise",1
"A_23_P75149","SFXN4","blue",1
"A_23_P145024","ADRB2","turquoise",1
"A_23_P207811","PAIP1","blue",1
"A_23_P26173","TMED3","blue",1
"A_32_P157208","PGM5P4-AS1","turquoise",1
"A_23_P42358","FHL5","turquoise",1
"A_33_P3233580","A_33_P3233580","turquoise",1
"A_32_P175301","DENND3","turquoise",1
"A_23_P306987","SOX7","turquoise",1
"A_23_P117852","PCLAF","blue",1
"A_33_P3236065","A_33_P3236065","turquoise",1
"A_24_P150023","KCNA4","turquoise",1
"A_23_P157795","CTNNAL1","turquoise",1
"A_23_P324813","BCL6B","turquoise",1
"A_24_P316939","LRRFIP1","blue",1
"A_33_P3230709","A_33_P3230709","blue",1
"A_23_P124402","HTR3C","turquoise",1
"A_33_P3299958","A_33_P3299958","turquoise",1
"A_24_P208909","TRIM2","turquoise",1
"A_23_P106433","RCCD1","turquoise",1
"A_33_P3320052","A_33_P3320052","turquoise",1
"A_24_P943393","AHNAK","turquoise",1
"A_33_P3316786","A_33_P3316786","turquoise",1
"A_23_P256956","KIF20A","blue",1
"A_33_P3275070","A_33_P3275070","turquoise",1
"A_33_P3718734","A_33_P3718734","turquoise",1
"A_23_P415611","SLC9B1","turquoise",1
"A_23_P202881","FEZ1","turquoise",1
"A_24_P416997","APOL3","turquoise",1
"A_23_P126075","KCNK1","turquoise",1
"A_33_P3295091","A_33_P3295091","turquoise",1
"A_23_P115246","FCN3","turquoise",1
"A_33_P3266025","A_33_P3266025","turquoise",1
"A_33_P3303302","A_33_P3303302","turquoise",1
"A_33_P3389653","A_33_P3389653","blue",1
"A_33_P3322075","A_33_P3322075","turquoise",1
"A_23_P16078","PAFAH1B3","turquoise",1
"A_23_P130027","EPN3","turquoise",1
"A_23_P111888","CTHRC1","blue",1
"A_23_P354341","CD160","turquoise",1
"A_23_P91619","MIF","blue",1
"A_33_P3310961","A_33_P3310961","turquoise",1
"A_23_P383819","TBX3","turquoise",1
"A_33_P3311498","A_33_P3311498","turquoise",1
"A_24_P738168","A_24_P738168","turquoise",1
"A_33_P3367860","A_33_P3367860","turquoise",1
"A_24_P192914","JAML","turquoise",1
"A_33_P3252196","A_33_P3252196","blue",1
"A_33_P3323718","A_33_P3323718","turquoise",1
"A_32_P119033","PLCXD3","turquoise",1
"A_32_P471485","RTKN2","turquoise",1
"A_33_P3419910","A_33_P3419910","blue",1
"A_33_P3302344","A_33_P3302344","turquoise",1
"A_24_P228550","TUBB1","turquoise",1
"A_23_P19543","SRPK1","blue",1
"A_33_P3308347","A_33_P3308347","turquoise",1
"A_33_P3279470","A_33_P3279470","turquoise",1
"A_33_P3214012","A_33_P3214012","turquoise",1
"A_33_P3228402","A_33_P3228402","turquoise",1
"A_24_P354496","WWC2-AS2","turquoise",1
"A_23_P146512","GOLM1","turquoise",1
"A_23_P69329","A_23_P69329","blue",1
"A_33_P3325502","A_33_P3325502","turquoise",1
"A_24_P766716","CMKLR1","turquoise",1
"A_23_P69310","CCRL2","turquoise",1
"A_23_P29185","TTC28","turquoise",1
"A_23_P201808","PLPP3","turquoise",1
"A_32_P51848","OTULINL","turquoise",1
"A_33_P3419485","A_33_P3419485","turquoise",1
"A_33_P3229918","A_33_P3229918","turquoise",1
"A_23_P53276","TIMELESS","blue",1
"A_33_P3227990","A_33_P3227990","turquoise",1
"A_23_P85015","MAOB","turquoise",1
"A_33_P3236986","A_33_P3236986","turquoise",1
"A_33_P3236392","A_33_P3236392","turquoise",1
"A_23_P164057","MFAP4","turquoise",1
"A_24_P921897","HOOK1","turquoise",1
"A_23_P8522","TMEM106B","blue",1
"A_23_P77859","TMEM88","turquoise",1
"A_23_P344568","FAM124A","turquoise",1
"A_23_P157215","BZW2","turquoise",1
"A_24_P214231","STIL","blue",1
"A_23_P29939","SNCA","turquoise",1
"A_33_P3419912","A_33_P3419912","blue",1
"A_33_P3880302","A_33_P3880302","blue",1
"A_23_P77493","TUBB3","blue",1
"A_23_P61317","GKN2","turquoise",1
"A_23_P47885","LRIG3","turquoise",1
"A_23_P145134","CEP43","turquoise",1
"A_23_P394064","CAVIN1","turquoise",1
"A_23_P10559","AATK","turquoise",1
"A_23_P21485","PID1","blue",1
"A_33_P3366053","A_33_P3366053","blue",1
"A_32_P70724","KDM5B","blue",1
"A_23_P373464","AFF3","turquoise",1
"A_33_P3307197","A_33_P3307197","blue",1
"A_23_P55544","CCBE1","turquoise",1
"A_23_P218858","ABI3BP","turquoise",1
"A_23_P333951","A_23_P333951","turquoise",1
"A_24_P288722","CASK","turquoise",1
"A_23_P37892","GPT2","turquoise",1
"A_33_P3364821","A_33_P3364821","turquoise",1
"A_32_P126375","NHS","turquoise",1
"A_23_P384748","PLEKHH2","turquoise",1
"A_24_P561341","ALKAL2","turquoise",1
"A_23_P157404","AP1S1","blue",1
"A_33_P3407606","A_33_P3407606","turquoise",1
"A_23_P215060","PODXL","turquoise",1
"A_24_P944827","ATG7","turquoise",1
"A_23_P353717","RMI2","turquoise",1
"A_23_P152655","ICAM2","turquoise",1
"A_23_P500741","CBFA2T3","turquoise",1
"A_33_P3249125","A_33_P3249125","turquoise",1
"A_32_P52018","PHACTR1","turquoise",1
"A_23_P65230","TMTC4","turquoise",1
"A_23_P25873","WDHD1","blue",1
"A_23_P354855","RS1","turquoise",1
"A_33_P3382147","A_33_P3382147","turquoise",1
"A_33_P3236703","A_33_P3236703","turquoise",1
"A_23_P135990","SLCO2A1","turquoise",1
"A_23_P151529","C14orf132","turquoise",1
"A_23_P379630","SLC38A10","turquoise",1
"A_23_P29655","CEP15","turquoise",1
"A_32_P87531","DNAH14","turquoise",1
"A_23_P503010","SLC24A4","turquoise",1
"A_23_P35168","ALG6","turquoise",1
"A_24_P197537","PDE8B","turquoise",1
"A_33_P3423565","A_33_P3423565","turquoise",1
"A_23_P159255","PTPRM","turquoise",1
"A_33_P3881262","A_33_P3881262","turquoise",1
"A_23_P154358","PROM2","turquoise",1
"A_32_P79190","ANKRD20A12P","turquoise",1
"A_33_P3215953","A_33_P3215953","blue",1
"A_33_P3310189","A_33_P3310189","turquoise",1
"A_33_P3216237","A_33_P3216237","turquoise",1
"A_23_P45940","TFB2M","blue",1
"A_24_P108311","NEDD4L","turquoise",1
"A_23_P399255","RNF182","turquoise",1
"A_32_P147078","SLC8A1","turquoise",1
"A_33_P3378962","A_33_P3378962","turquoise",1
"A_33_P3386547","A_33_P3386547","turquoise",1
"A_23_P70249","CDC25C","blue",1
"A_23_P167599","RETREG1","turquoise",1
"A_24_P119678","A_24_P119678","turquoise",1
"A_32_P465742","PIP5K1B","turquoise",1
"A_24_P943613","TBC1D1","turquoise",1
"A_33_P3400653","A_33_P3400653","turquoise",1
"A_23_P434900","JPT2","turquoise",1
"A_23_P208880","UHRF1","blue",1
"A_33_P3305348","A_33_P3305348","blue",1
"A_33_P3398401","A_33_P3398401","blue",1
"A_33_P3258117","A_33_P3258117","blue",1
"A_23_P51397","ENAH","turquoise",1
"A_23_P153571","IGFL2","turquoise",1
"A_23_P415021","TMT1A","turquoise",1
"A_23_P150064","MMRN2","turquoise",1
"A_33_P3334205","A_33_P3334205","turquoise",1
"A_24_P414269","ALG3","blue",1
"A_23_P412577","ANKRD29","turquoise",1
"A_33_P3274179","A_33_P3274179","blue",1
"A_33_P3408624","A_33_P3408624","turquoise",1
"A_24_P942321","FRMD4A","turquoise",1
