"ProbeID","GeneSymbol","ModuleColor","kME"
"A_23_P55020","CD300LF","turquoise",1
"A_33_P3336592","A_33_P3336592","turquoise",1
"A_24_P208567","IL18R1","turquoise",1
"A_23_P126677","DNASE2B","turquoise",1
"A_33_P3339376","A_33_P3339376","turquoise",1
"A_23_P147845","PDXDC1","turquoise",1
"A_32_P7316","BDNF","turquoise",1
"A_24_P113144","ATAD5","blue",1
"A_33_P3299220","A_33_P3299220","turquoise",1
"A_32_P49508","HMGCLL1","turquoise",1
"A_23_P108932","RPL23AP32","turquoise",1
"A_33_P3275801","A_33_P3275801","turquoise",1
"A_33_P3353864","A_33_P3353864","turquoise",1
"A_24_P79403","PF4","turquoise",1
"A_23_P422831","ENTREP1","blue",1
"A_33_P3317618","A_33_P3317618","turquoise",1
"A_23_P313632","FUT8","turquoise",1
"A_33_P3244347","A_33_P3244347","turquoise",1
"A_24_P811704","PPFIBP1","turquoise",1
"A_24_P254949","PGM5","turquoise",1
"A_23_P4919","KDELR1","blue",1
"A_23_P253791","CAMP","turquoise",1
"A_33_P3334515","A_33_P3334515","blue",1
"A_23_P137484","L1TD1","blue",1
"A_23_P144656","CDH10","turquoise",1
"A_23_P100344","ORC6","blue",1
"A_33_P3383226","A_33_P3383226","turquoise",1
"A_24_P291658","ADH1A","turquoise",1
"A_33_P3340025","A_33_P3340025","blue",1
"A_33_P3783812","A_33_P3783812","turquoise",1
"A_33_P3366221","A_33_P3366221","turquoise",1
"A_23_P63789","ZWINT","blue",1
"A_23_P44466","CCDC102B","turquoise",1
"A_33_P3240115","A_33_P3240115","turquoise",1
"A_23_P111811","ING3","turquoise",1
"A_33_P3365142","A_33_P3365142","turquoise",1
"A_33_P3407925","A_33_P3407925","turquoise",1
"A_33_P3417502","A_33_P3417502","turquoise",1
"A_23_P5339","TMEM177","turquoise",1
"A_33_P3236661","A_33_P3236661","turquoise",1
"A_23_P303155","TMEM87B","blue",1
"A_24_P49383","AAMDC","blue",1
"A_23_P430930","RSPO2","turquoise",1
"A_23_P14564","GPR65","turquoise",1
"A_23_P33093","ST6GALNAC5","turquoise",1
"A_33_P3729375","A_33_P3729375","blue",1
"A_23_P118246","GINS2","blue",1
"A_23_P134744","RNF122","turquoise",1
"A_23_P34788","KIF2C","blue",1
"A_33_P3214550","A_33_P3214550","turquoise",1
"A_33_P3254013","A_33_P3254013","blue",1
"A_33_P3322499","A_33_P3322499","turquoise",1
"A_32_P4792","A_32_P4792","turquoise",1
"A_33_P3238171","A_33_P3238171","turquoise",1
"A_23_P250564","PRKCE","turquoise",1
"A_33_P3405213","A_33_P3405213","turquoise",1
"A_33_P3334220","A_33_P3334220","blue",1
"A_32_P180958","A_32_P180958","turquoise",1
"A_23_P91414","CCM2L","turquoise",1
"A_23_P56578","VIT","turquoise",1
"A_23_P78980","B3GNT3","turquoise",1
"A_24_P372223","MSR1","turquoise",1
"A_32_P44775","C9orf85","blue",1
"A_33_P3345816","A_33_P3345816","turquoise",1
"A_33_P3330608","A_33_P3330608","turquoise",1
"A_32_P152696","A_32_P152696","blue",1
"A_24_P200427","PAICS","blue",1
"A_23_P98282","SPTBN2","blue",1
"A_23_P17134","MAL","turquoise",1
"A_33_P3383233","A_33_P3383233","turquoise",1
"A_33_P3281273","A_33_P3281273","turquoise",1
"A_24_P292253","ITIH5","turquoise",1
"A_33_P3215739","A_33_P3215739","turquoise",1
"A_23_P159382","SEC24D","turquoise",1
"A_33_P3221408","A_33_P3221408","turquoise",1
"A_33_P3418294","A_33_P3418294","turquoise",1
"A_33_P3212072","A_33_P3212072","turquoise",1
"A_33_P3406072","A_33_P3406072","turquoise",1
"A_23_P108761","A_23_P108761","blue",1
"A_24_P213478","SEMA6A","turquoise",1
"A_33_P3640690","A_33_P3640690","turquoise",1
"A_33_P3331085","A_33_P3331085","turquoise",1
"A_23_P122662","GFOD1","turquoise",1
"A_33_P3408569","A_33_P3408569","turquoise",1
"A_32_P57237","RPL21","turquoise",1
"A_24_P72064","GHR","turquoise",1
"A_32_P204376","ANKRD20A2P","turquoise",1
"A_24_P310616","SLC35A2","blue",1
"A_32_P158355","ALG1L1P","blue",1
"A_24_P158946","FGD4","blue",1
"A_33_P3379886","A_33_P3379886","turquoise",1
"A_23_P365738","ARC","turquoise",1
"A_23_P49448","FA2H","turquoise",1
"A_23_P104651","CDCA5","blue",1
"A_33_P3400253","A_33_P3400253","blue",1
"A_33_P3215640","A_33_P3215640","turquoise",1
"A_23_P142389","LSR","blue",1
"A_24_P269432","BET1","blue",1
"A_33_P3335935","A_33_P3335935","turquoise",1
"A_33_P3367984","A_33_P3367984","turquoise",1
"A_23_P42909","TMEM139","turquoise",1
"A_23_P23303","EXO1","blue",1
"A_33_P3229617","A_33_P3229617","turquoise",1
"A_33_P3380762","A_33_P3380762","turquoise",1
"A_23_P210608","ZNF217","blue",1
"A_33_P3212799","A_33_P3212799","turquoise",1
"A_23_P53668","NFYB","turquoise",1
"A_32_P157945","DSP","blue",1
"A_23_P431971","CRTAC1","turquoise",1
"A_23_P104073","S100A3","turquoise",1
"A_33_P3304668","A_33_P3304668","blue",1
"A_33_P3230017","A_33_P3230017","turquoise",1
"A_23_P105138","CAT","turquoise",1
"A_24_P242581","SLC5A9","turquoise",1
"A_24_P336417","XPR1","turquoise",1
"A_33_P3257993","A_33_P3257993","turquoise",1
"A_32_P152437","AKAP12","turquoise",1
"A_23_P94422","MELK","blue",1
"A_23_P151506","PLEK2","turquoise",1
"A_23_P90944","SCN7A","turquoise",1
"A_24_P103264","UGT8","blue",1
"A_24_P73599","IL16","turquoise",1
"A_33_P3258244","A_33_P3258244","turquoise",1
"A_23_P134109","EPB41L2","turquoise",1
"A_23_P74701","COL24A1","turquoise",1
"A_32_P407245","DNAJC22","turquoise",1
"A_23_P27584","MYADM","turquoise",1
"A_23_P361419","DEPDC1B","blue",1
"A_23_P410965","NHSL3","turquoise",1
"A_23_P82979","LAMC3","turquoise",1
"A_23_P117363","SERPINA6","blue",1
"A_33_P3313825","A_33_P3313825","blue",1
"A_23_P217269","VSIG4","turquoise",1
"A_24_P256552","CSTF3","turquoise",1
"A_24_P382287","CDH7","blue",1
"A_23_P329353","CNRIP1","turquoise",1
"A_23_P97606","GSTM5","turquoise",1
"A_24_P330263","EDNRB","turquoise",1
"A_23_P385690","WNT3A","turquoise",1
"A_24_P10233","DAPK2","blue",1
"A_24_P225616","RRM2","blue",1
"A_23_P116902","ART4","turquoise",1
"A_33_P3350863","A_33_P3350863","turquoise",1
"A_33_P3312499","A_33_P3312499","blue",1
"A_23_P54291","DUOX1","turquoise",1
"A_23_P74467","KHDC4","blue",1
"A_33_P3791552","A_33_P3791552","blue",1
"A_33_P3261408","A_33_P3261408","blue",1
"A_23_P164451","TBX2","turquoise",1
"A_33_P3306153","A_33_P3306153","blue",1
"A_23_P169278","AGTPBP1","turquoise",1
"A_24_P37441","PDK1","blue",1
"A_23_P115482","UBE2T","blue",1
"A_33_P3377529","A_33_P3377529","turquoise",1
"A_33_P3299882","A_33_P3299882","turquoise",1
"A_23_P98565","MS4A14","turquoise",1
"A_24_P280664","GBP7","turquoise",1
"A_32_P337442","C10orf67","turquoise",1
"A_33_P3216610","A_33_P3216610","turquoise",1
"A_23_P112452","GGTA1","turquoise",1
"A_23_P138507","CDK1","blue",1
"A_23_P136964","RPGR","blue",1
"A_23_P204879","CAB39L","turquoise",1
"A_33_P3363933","A_33_P3363933","turquoise",1
"A_33_P3347241","A_33_P3347241","turquoise",1
"A_33_P3773168","A_33_P3773168","turquoise",1
"A_24_P586523","ALG1","blue",1
"A_23_P120472","TFAP2C","turquoise",1
"A_23_P254271","TUBB6","turquoise",1
"A_23_P72068","GMDS","blue",1
"A_23_P200001","NEXN","turquoise",1
"A_32_P78681","GLP2R","turquoise",1
"A_23_P205567","PRKCH","turquoise",1
"A_33_P3411392","A_33_P3411392","blue",1
"A_33_P3742500","A_33_P3742500","blue",1
"A_23_P8820","FABP4","turquoise",1
"A_33_P3317603","A_33_P3317603","blue",1
"A_33_P3329644","A_33_P3329644","blue",1
"A_33_P3230548","A_33_P3230548","blue",1
"A_23_P259172","SSR4","turquoise",1
"A_23_P209449","FZD7","blue",1
"A_23_P41424","SLC39A8","turquoise",1
"A_24_P225604","DNAJC10","blue",1
"A_23_P107963","FUT1","turquoise",1
"A_23_P503233","EDARADD","blue",1
"A_33_P3401647","A_33_P3401647","turquoise",1
"A_23_P357284","GPR4","turquoise",1
"A_24_P926507","SLC14A1","turquoise",1
"A_23_P107051","TCAP","blue",1
"A_23_P99927","HACD3","blue",1
"A_23_P340848","PTGIR","turquoise",1
"A_33_P3344477","A_33_P3344477","turquoise",1
"A_23_P63432","RHBDL2","turquoise",1
"A_23_P91390","THBD","turquoise",1
"A_23_P45087","ZNF107","turquoise",1
"A_23_P104804","ZBTB16","turquoise",1
"A_23_P1492","AVPI1","turquoise",1
"A_33_P3288159","A_33_P3288159","blue",1
"A_23_P17438","EDN3","turquoise",1
"A_23_P204801","SLC41A2","blue",1
"A_24_P319715","PDIA6","blue",1
"A_23_P99642","SLC7A7","turquoise",1
"A_32_P100683","TTC28","turquoise",1
"A_33_P3410194","A_33_P3410194","turquoise",1
"A_33_P3326634","A_33_P3326634","turquoise",1
"A_23_P163099","POLE2","blue",1
"A_33_P3237359","A_33_P3237359","turquoise",1
"A_33_P3231705","A_33_P3231705","turquoise",1
"A_23_P206806","ITGAL","turquoise",1
"A_33_P3240752","A_33_P3240752","turquoise",1
"A_33_P3231357","A_33_P3231357","turquoise",1
"A_33_P3346032","A_33_P3346032","turquoise",1
"A_33_P3628409","A_33_P3628409","turquoise",1
"A_33_P3402404","A_33_P3402404","turquoise",1
"A_23_P157914","MAMDC2","turquoise",1
"A_23_P69537","NMU","blue",1
"A_33_P3333282","A_33_P3333282","turquoise",1
"A_23_P100642","PNMT","turquoise",1
"A_23_P63209","HSD11B1","turquoise",1
"A_33_P3371999","A_33_P3371999","blue",1
"A_24_P227211","KLC2","blue",1
"A_23_P165136","LRRC25","turquoise",1
"A_33_P3347528","A_33_P3347528","turquoise",1
"A_23_P117582","JDP2","blue",1
"A_23_P26124","RORA","turquoise",1
"A_24_P203072","JADE3","blue",1
"A_23_P108265","OR7C2","turquoise",1
"A_24_P231104","LEPR","turquoise",1
"A_23_P80048","FER1L4","blue",1
"A_33_P3262575","A_33_P3262575","turquoise",1
"A_24_P364296","STX2","turquoise",1
"A_23_P152804","NME1","blue",1
"A_23_P316974","SYNJ2","blue",1
"A_33_P3394040","A_33_P3394040","turquoise",1
"A_23_P216023","ANGPT1","turquoise",1
"A_33_P3321130","A_33_P3321130","turquoise",1
"A_23_P87709","PLBD1","blue",1
"A_23_P404965","GNL1","blue",1
"A_23_P65757","CCNB2","blue",1
"A_23_P35230","CD46","turquoise",1
"A_24_P26897","INPP5A","turquoise",1
"A_23_P346421","ZNF532","blue",1
"A_23_P139600","RASAL1","turquoise",1
"A_33_P3738458","A_33_P3738458","turquoise",1
"A_23_P107421","TK1","blue",1
"A_23_P64173","CARD16","turquoise",1
"A_33_P3788618","A_33_P3788618","turquoise",1
"A_23_P63681","IDE","blue",1
"A_23_P145841","SOSTDC1","turquoise",1
"A_23_P215341","FKBP14","blue",1
"A_23_P401361","PITPNM2","blue",1
"A_33_P3367392","A_33_P3367392","turquoise",1
"A_23_P432947","GREM1","blue",1
"A_24_P75190","HBD","turquoise",1
"A_23_P6771","LMCD1","turquoise",1
"A_33_P3375626","A_33_P3375626","turquoise",1
"A_33_P3535649","A_33_P3535649","turquoise",1
"A_33_P3221129","A_33_P3221129","turquoise",1
"A_33_P3331366","A_33_P3331366","turquoise",1
"A_32_P230868","RIPOR1","turquoise",1
"A_24_P182892","SLC19A3","turquoise",1
"A_23_P2414","A_23_P2414","turquoise",1
"A_33_P3489737","A_33_P3489737","blue",1
"A_23_P30666","TNFRSF21","blue",1
"A_23_P56746","FAP","blue",1
"A_32_P190769","C1QTNF7","turquoise",1
"A_23_P48056","CKAP4","blue",1
"A_32_P141768","AGPAT4","turquoise",1
"A_23_P20035","GPR146","turquoise",1
"A_23_P137391","ENO1","blue",1
"A_33_P3404706","A_33_P3404706","blue",1
"A_23_P54681","A_23_P54681","turquoise",1
"A_23_P39602","NCOA1","turquoise",1
"A_33_P3417427","A_33_P3417427","turquoise",1
"A_32_P60459","OTUD1","turquoise",1
"A_33_P3285545","A_33_P3285545","turquoise",1
"A_24_P759674","STN1","blue",1
"A_23_P252764","SMARCA2","blue",1
"A_23_P74349","NUF2","blue",1
"A_32_P141969","A_32_P141969","turquoise",1
"A_33_P3234882","A_33_P3234882","turquoise",1
"A_23_P380010","A_23_P380010","blue",1
"A_33_P3396872","A_33_P3396872","turquoise",1
"A_33_P3282434","A_33_P3282434","blue",1
"A_23_P52017","ASPM","blue",1
"A_23_P133665","FRK","turquoise",1
"A_33_P3343365","A_33_P3343365","blue",1
"A_23_P46045","RGS5","turquoise",1
"A_33_P3232937","A_33_P3232937","turquoise",1
"A_33_P3378126","A_33_P3378126","blue",1
"A_33_P3407780","A_33_P3407780","blue",1
"A_23_P139786","OASL","turquoise",1
"A_24_P307808","KCTD16","turquoise",1
"A_24_P245298","TNFSF12","turquoise",1
"A_33_P3349536","A_33_P3349536","blue",1
"A_23_P163481","BUB1B","blue",1
"A_23_P404667","BIK","turquoise",1
"A_23_P302550","RGS18","turquoise",1
"A_24_P810290","PLPP4","blue",1
"A_33_P3235004","A_33_P3235004","turquoise",1
"A_23_P113351","SPARCL1","turquoise",1
"A_24_P321525","RERG","turquoise",1
"A_24_P345377","GOLPH3L","turquoise",1
"A_23_P77000","VASH1","turquoise",1
"A_33_P3294089","A_33_P3294089","turquoise",1
"A_24_P31627","KCNB1","turquoise",1
"A_32_P160561","DOK6","turquoise",1
"A_33_P3382513","A_33_P3382513","blue",1
"A_23_P76109","RILPL2","turquoise",1
"A_32_P58699","LRRC63","turquoise",1
"A_24_P319736","MEIS1","turquoise",1
"A_33_P3212172","A_33_P3212172","blue",1
"A_33_P3259203","A_33_P3259203","turquoise",1
"A_33_P3803667","A_33_P3803667","turquoise",1
"A_23_P408285","PRICKLE1","turquoise",1
"A_33_P3227375","A_33_P3227375","blue",1
"A_23_P38584","KRT27","turquoise",1
"A_23_P19369","CARMIL1","turquoise",1
"A_23_P89509","SPAG5","blue",1
"A_33_P3303449","A_33_P3303449","turquoise",1
"A_33_P3379669","A_33_P3379669","blue",1
"A_23_P134835","CSGALNACT1","turquoise",1
"A_23_P258912","MYOM2","turquoise",1
"A_23_P115064","CRABP2","turquoise",1
"A_23_P121695","CXCL13","blue",1
"A_33_P3806965","A_33_P3806965","turquoise",1
"A_23_P60227","CCIN","turquoise",1
"A_24_P902728","CAPRIN1","turquoise",1
"A_23_P144827","FBXL7","turquoise",1
"A_23_P132027","SPAG4","blue",1
"A_32_P90047","A_32_P90047","turquoise",1
"A_23_P26994","GNGT2","turquoise",1
"A_33_P3305725","A_33_P3305725","blue",1
"A_32_P130630","SLC16A7","turquoise",1
"A_23_P420236","PCDH9","turquoise",1
"A_23_P152353","A_23_P152353","blue",1
"A_23_P73114","PROS1","turquoise",1
"A_23_P427023","GIMAP1","turquoise",1
"A_23_P82990","OGN","turquoise",1
"A_23_P301855","LSAMP","turquoise",1
"A_24_P129632","DLG5","turquoise",1
"A_24_P122746","A_24_P122746","turquoise",1
"A_33_P3289121","A_33_P3289121","brown",1
"A_24_P373152","CFL2","turquoise",1
"A_32_P83049","EFR3B","turquoise",1
"A_32_P216520","WIF1","blue",1
"A_33_P3333317","A_33_P3333317","turquoise",1
"A_23_P119042","NKG7","turquoise",1
"A_33_P3229370","A_33_P3229370","turquoise",1
"A_23_P35219","NEK2","blue",1
"A_33_P3352098","A_33_P3352098","turquoise",1
"A_33_P3256287","A_33_P3256287","turquoise",1
"A_23_P80940","PPAT","blue",1
"A_23_P214821","EDN1","turquoise",1
"A_23_P340131","PRSS16","turquoise",1
"A_33_P3377564","A_33_P3377564","turquoise",1
"A_33_P3230290","A_33_P3230290","blue",1
"A_33_P3325102","A_33_P3325102","blue",1
"A_23_P89780","LAMA3","turquoise",1
"A_33_P3270311","A_33_P3270311","turquoise",1
"A_24_P413437","NONO","blue",1
"A_32_P44568","LDHA","blue",1
"A_23_P91283","CASS4","turquoise",1
"A_33_P3231700","A_33_P3231700","turquoise",1
"A_24_P145629","SERINC2","turquoise",1
"A_33_P3410235","A_33_P3410235","blue",1
"A_23_P203558","HBB","turquoise",1
"A_24_P778906","A_24_P778906","turquoise",1
"A_24_P55148","H2BC11","blue",1
"A_33_P3354141","A_33_P3354141","turquoise",1
"A_33_P3334180","A_33_P3334180","turquoise",1
"A_33_P3316587","A_33_P3316587","turquoise",1
"A_33_P3331125","A_33_P3331125","turquoise",1
"A_33_P3398912","A_33_P3398912","turquoise",1
"A_24_P294703","PRRC1","blue",1
"A_33_P3341656","A_33_P3341656","blue",1
"A_23_P118025","DPEP2","turquoise",1
"A_23_P75647","HYOU1","turquoise",1
"A_23_P29953","IL15","turquoise",1
"A_33_P3264272","A_33_P3264272","blue",1
"A_33_P3361422","A_33_P3361422","turquoise",1
"A_23_P54447","LINC00597","blue",1
"A_24_P196019","A_24_P196019","blue",1
"A_23_P205177","F10","turquoise",1
"A_33_P3377691","A_33_P3377691","blue",1
"A_33_P3243153","A_33_P3243153","turquoise",1
"A_24_P100517","SAPCD2","blue",1
"A_33_P3386364","A_33_P3386364","turquoise",1
"A_23_P215675","COA1","turquoise",1
"A_23_P216282","ARHGEF10","turquoise",1
"A_33_P3244610","A_33_P3244610","turquoise",1
"A_23_P326080","DEFA4","turquoise",1
"A_23_P45294","FAM199X","blue",1
"A_33_P3807062","A_33_P3807062","blue",1
"A_23_P421306","SYT12","turquoise",1
"A_33_P3359219","A_33_P3359219","blue",1
"A_23_P359540","H4C6","turquoise",1
"A_23_P150935","TROAP","blue",1
"A_33_P3421490","A_33_P3421490","turquoise",1
"A_33_P3286011","A_33_P3286011","blue",1
"A_24_P355649","FLI1","turquoise",1
"A_23_P141730","DSG2","blue",1
"A_33_P3365735","A_33_P3365735","blue",1
"A_33_P3265950","A_33_P3265950","turquoise",1
"A_23_P104996","BEST1","turquoise",1
"A_23_P29773","LAMP3","turquoise",1
"A_23_P394448","DPY19L1","turquoise",1
"A_24_P280897","A_24_P280897","turquoise",1
"A_33_P3209406","A_33_P3209406","turquoise",1
"A_23_P12363","ROR1","turquoise",1
"A_24_P206328","PDE1C","turquoise",1
"A_23_P210708","SIRPA","turquoise",1
"A_23_P92948","PRRC1","turquoise",1
"A_33_P3352073","A_33_P3352073","turquoise",1
"A_23_P46309","A_23_P46309","turquoise",1
"A_23_P26457","HBA2","turquoise",1
"A_24_P49106","TCEAL7","turquoise",1
"A_33_P3357097","A_33_P3357097","turquoise",1
"A_32_P85999","CDH13","turquoise",1
"A_23_P155989","CENPK","blue",1
"A_23_P68219","TTN","turquoise",1
"A_23_P69586","FAT1","blue",1
"A_33_P3311663","A_33_P3311663","turquoise",1
"A_24_P943566","PHACTR1","blue",1
"A_23_P139682","PZP","turquoise",1
"A_24_P855508","C9orf153","turquoise",1
"A_23_P2674","KRT4","turquoise",1
"A_23_P401","CENPF","blue",1
"A_33_P3406836","A_33_P3406836","turquoise",1
"A_23_P346390","DIPK2B","turquoise",1
"A_33_P3209279","A_33_P3209279","blue",1
"A_23_P104464","ALOX5","turquoise",1
"A_33_P3258362","A_33_P3258362","turquoise",1
"A_33_P3284453","A_33_P3284453","blue",1
"A_23_P95790","ITLN1","turquoise",1
"A_24_P96780","CENPF","blue",1
"A_23_P259692","PSAT1","blue",1
"A_33_P3283599","A_33_P3283599","turquoise",1
"A_23_P476","MPZL1","turquoise",1
"A_23_P331748","CD33","turquoise",1
"A_23_P115872","CEP55","blue",1
"A_33_P3389153","A_33_P3389153","turquoise",1
"A_33_P3623118","A_33_P3623118","turquoise",1
"A_23_P93524","SAMD3","turquoise",1
"A_33_P3222783","A_33_P3222783","blue",1
"A_23_P138194","NCF2","turquoise",1
"A_23_P40078","XPO1","blue",1
"A_23_P14667","SLC28A1","turquoise",1
"A_23_P48339","IFT88","brown",1
"A_23_P206059","PRC1","blue",1
"A_23_P150316","MMP12","blue",1
"A_33_P3638471","A_33_P3638471","turquoise",1
"A_23_P157268","CLDN12","turquoise",1
"A_23_P118815","BIRC5","blue",1
"A_24_P192805","CARD17P","turquoise",1
"A_23_P28375","GMCL1","blue",1
"A_33_P3283430","A_33_P3283430","turquoise",1
"A_23_P501010","COL17A1","turquoise",1
"A_32_P100439","MTURN","blue",1
"A_23_P412562","C1orf162","turquoise",1
"A_24_P67748","A_24_P67748","blue",1
"A_24_P453921","DPY19L1P1","turquoise",1
"A_23_P98121","FXYD4","turquoise",1
"A_33_P3409974","A_33_P3409974","turquoise",1
"A_23_P106158","L2HGDH","blue",1
"A_23_P43164","SULF1","blue",1
"A_33_P3209229","A_33_P3209229","turquoise",1
"A_23_P404494","IL7R","turquoise",1
"A_33_P3351894","A_33_P3351894","blue",1
"A_23_P14493","DNAAF2","turquoise",1
"A_23_P131935","FERMT1","turquoise",1
"A_23_P209689","ROCK2","turquoise",1
"A_33_P3353552","A_33_P3353552","turquoise",1
"A_23_P417383","ASPRV1","turquoise",1
"A_33_P3233871","A_33_P3233871","turquoise",1
"A_24_P330773","CALCOCO2","blue",1
"A_33_P3241269","A_33_P3241269","turquoise",1
"A_23_P40217","DOK5","blue",1
"A_23_P88331","DLGAP5","blue",1
"A_23_P137697","SELP","turquoise",1
"A_33_P3396159","A_33_P3396159","turquoise",1
"A_33_P3419383","A_33_P3419383","turquoise",1
"A_23_P139635","DAO","turquoise",1
"A_24_P396702","CD302","blue",1
"A_24_P925062","MXRA7","turquoise",1
"A_23_P214565","MAS1L","blue",1
"A_23_P325726","ACOT11","turquoise",1
"A_23_P212050","BCHE","turquoise",1
"A_23_P406521","SIRPD","turquoise",1
"A_33_P3396370","A_33_P3396370","turquoise",1
"A_23_P148047","PTGER4","turquoise",1
"A_33_P3503537","A_33_P3503537","blue",1
"A_24_P123347","PPAT","turquoise",1
"A_33_P3232945","A_33_P3232945","turquoise",1
"A_23_P66637","SGCA","blue",1
"A_33_P3318267","A_33_P3318267","blue",1
"A_23_P111054","H2BC3","turquoise",1
"A_33_P3349912","A_33_P3349912","blue",1
"A_23_P89380","SLC4A1","turquoise",1
"A_23_P4773","LILRB5","turquoise",1
"A_33_P3784253","A_33_P3784253","blue",1
"A_33_P3260530","A_33_P3260530","turquoise",1
"A_23_P259586","TTK","blue",1
"A_23_P332326","ARHGEF19","turquoise",1
"A_24_P683011","C8orf88","turquoise",1
"A_23_P148879","ATP1A2","turquoise",1
"A_24_P19544","STK39","turquoise",1
"A_24_P168925","A_24_P168925","turquoise",1
"A_32_P5480","CERS6","blue",1
"A_24_P300777","ADAM8","turquoise",1
"A_33_P3315719","A_33_P3315719","blue",1
"A_23_P49279","C16orf87","blue",1
"A_32_P96036","A_32_P96036","turquoise",1
"A_24_P930741","EPHA10","turquoise",1
"A_33_P3449815","A_33_P3449815","turquoise",1
"A_33_P3302280","A_33_P3302280","turquoise",1
"A_33_P3407675","A_33_P3407675","turquoise",1
"A_23_P258493","LMNB1","blue",1
"A_24_P258235","OR5L2","blue",1
"A_23_P58228","ODAM","turquoise",1
"A_33_P3755633","A_33_P3755633","blue",1
"A_23_P216307","RUNX1T1","turquoise",1
"A_33_P3413795","A_33_P3413795","blue",1
"A_24_P350228","SLC22A23","blue",1
"A_23_P163113","PRPF39","blue",1
"A_23_P47614","PHLDA2","turquoise",1
"A_23_P21363","AHNAK","turquoise",1
"A_23_P141180","TOM1L2","turquoise",1
"A_24_P350576","TNIK","turquoise",1
"A_23_P99405","ZMYM2","turquoise",1
"A_23_P121499","WFS1","turquoise",1
"A_32_P150300","A_32_P150300","turquoise",1
"A_33_P3332970","A_33_P3332970","turquoise",1
"A_23_P152344","GTF3C1","blue",1
"A_23_P41166","B3GALNT1","turquoise",1
"A_24_P146211","H2BC5","turquoise",1
"A_23_P44684","ECT2","blue",1
"A_23_P47282","ST14","blue",1
"A_23_P103628","HEATR1","blue",1
"A_32_P19840","A_32_P19840","turquoise",1
"A_33_P3338698","A_33_P3338698","turquoise",1
"A_23_P414654","RAB37","blue",1
"A_23_P60166","DEPTOR","turquoise",1
"A_33_P3224735","A_33_P3224735","turquoise",1
"A_23_P403284","OTX1","turquoise",1
"A_33_P3814721","A_33_P3814721","turquoise",1
"A_23_P106998","MRPS23","blue",1
"A_33_P3579984","A_33_P3579984","turquoise",1
"A_23_P96383","SRPX","turquoise",1
"A_23_P66608","KAT2A","turquoise",1
"A_23_P314642","ZNF280C","blue",1
"A_23_P32577","DACH1","turquoise",1
"A_23_P61050","MLKL","turquoise",1
"A_33_P3395321","A_33_P3395321","blue",1
"A_33_P3338740","A_33_P3338740","turquoise",1
"A_24_P492083","A_24_P492083","turquoise",1
"A_23_P253524","CENPE","blue",1
"A_33_P3321372","A_33_P3321372","turquoise",1
"A_23_P353614","VXN","blue",1
"A_33_P3285734","A_33_P3285734","turquoise",1
"A_33_P3268838","A_33_P3268838","blue",1
"A_33_P3240512","A_33_P3240512","turquoise",1
"A_23_P415015","ATL2","blue",1
"A_23_P105862","FRY","turquoise",1
"A_23_P99741","CDKL1","turquoise",1
"A_23_P24716","TMEM132A","blue",1
"A_23_P70127","TMED9","blue",1
"A_33_P3380652","A_33_P3380652","turquoise",1
"A_23_P92842","SAR1B","turquoise",1
"A_23_P355067","TMCO1","blue",1
"A_33_P3307903","A_33_P3307903","blue",1
"A_23_P159893","CHRDL1","turquoise",1
"A_24_P112447","ENTPD7","blue",1
"A_33_P3383551","A_33_P3383551","blue",1
"A_23_P216468","SLC1A1","turquoise",1
"A_23_P388433","A_23_P388433","turquoise",1
"A_23_P36397","CYP27B1","blue",1
"A_24_P416346","ETV4","turquoise",1
"A_24_P7750","A_24_P7750","blue",1
"A_33_P3251856","A_33_P3251856","turquoise",1
"A_23_P141146","FBXL20","blue",1
"A_23_P259127","ESRP1","turquoise",1
"A_23_P28334","IL18RAP","turquoise",1
"A_23_P133474","GPX3","turquoise",1
"A_33_P3442605","A_33_P3442605","turquoise",1
"A_24_P43810","FAM83A","turquoise",1
"A_23_P366453","KHDRBS2","turquoise",1
"A_33_P3341429","A_33_P3341429","turquoise",1
"A_23_P104692","PELI3","blue",1
"A_24_P88565","SLC50A1","blue",1
"A_33_P3310293","A_33_P3310293","turquoise",1
"A_23_P365817","PPP1R14B","blue",1
"A_33_P3427102","A_33_P3427102","turquoise",1
"A_33_P3396692","A_33_P3396692","blue",1
"A_33_P3270009","A_33_P3270009","blue",1
"A_32_P37495","A_32_P37495","turquoise",1
"A_24_P75072","SMUG1","turquoise",1
"A_23_P97394","BCAR3","turquoise",1
"A_24_P342807","SLC30A6","blue",1
"A_23_P106258","SLC25A47","blue",1
"A_33_P3256725","A_33_P3256725","turquoise",1
"A_33_P3286492","A_33_P3286492","turquoise",1
"A_33_P3248227","A_33_P3248227","blue",1
"A_33_P3341474","A_33_P3341474","turquoise",1
"A_33_P3313283","A_33_P3313283","blue",1
"A_23_P302681","FIGNL1","turquoise",1
"A_33_P3413558","A_33_P3413558","turquoise",1
"A_23_P108157","TJP3","turquoise",1
"A_23_P51679","MEF2D","blue",1
"A_33_P3483909","A_33_P3483909","turquoise",1
"A_23_P12746","MRC1","turquoise",1
"A_33_P3355281","A_33_P3355281","turquoise",1
"A_24_P115511","RAB14","turquoise",1
"A_33_P3262515","A_33_P3262515","turquoise",1
"A_33_P3390539","A_33_P3390539","turquoise",1
"A_23_P394605","SEC24A","turquoise",1
"A_33_P3421827","A_33_P3421827","turquoise",1
