"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"A_23_P387630",-2.13071023846152,7.57950427307692,-17.1949163335761,2.19135581102018e-32,1.18261714715124e-29,63.197605017876
"A_33_P3480395",-3.94902869423075,8.47355147019231,-17.1926337858234,2.21418533825819e-32,1.18261714715124e-29,63.1873477604944
"A_23_P166616",-3.70633421038461,5.02142783519231,-17.1876046715344,2.26533349644829e-32,1.19132146013987e-29,63.1647456580288
"A_23_P138352",-4.00514271153845,6.18342282115385,-17.1744310035492,2.40502291979945e-32,1.24561967375007e-29,63.1055242918225
"A_33_P3423874",-3.6701799403846,9.63288715480769,-17.0910794788493,3.51369676036372e-32,1.79266710984348e-29,62.7302999054019
"A_23_P301521",-2.99426563461535,11.5323573942308,-17.0868806753896,3.58152782833846e-32,1.80040243758961e-29,62.7113742202873
"A_32_P167239",-2.14761497884613,8.30280030865385,-16.9629041276277,6.30515929890298e-32,3.12361246832465e-29,62.1515304829748
"A_23_P111701",-2.99289126923074,12.4235116346154,-16.94302319527,6.90499946009637e-32,3.37190852206392e-29,62.0615680919014
"A_33_P3424132",-2.46611604999998,6.82218766730769,-16.9060278301753,8.17832895574662e-32,3.9133287607505e-29,61.8940254349421
"A_33_P3293918",-2.40324702884613,10.9766931298077,-16.9020669793733,8.32795351033242e-32,3.9133287607505e-29,61.8760772262216
"A_23_P31376",-3.29879331730768,6.96498402019231,-16.9013020315804,8.35716582906084e-32,3.9133287607505e-29,61.8726107056681
"A_23_P164436",-3.25070675576922,7.33051138365385,-16.8725429821215,9.533574326051e-32,4.40386717820812e-29,61.7422280461607
"A_33_P3364180",-2.40948297884613,9.62867066442308,-16.8614805099248,1.00292666867862e-31,4.57107230872551e-29,61.6920464358927
"A_32_P141238",-2.53981287115383,6.78465302211538,-16.8366522773958,1.12382789376378e-31,5.05471169638517e-29,61.5793628353356
"A_33_P3243023",-2.44316273653846,3.3382530875,-16.8006726485968,1.32553690631973e-31,5.88452312580876e-29,61.4159266644206
"A_23_P72651",-2.72801424423075,9.20364573365385,-16.7911387223177,1.38484371785988e-31,6.06898882148772e-29,61.3725910616542
"A_33_P3261937",-2.81678880384614,6.32298094423077,-16.7355918673532,1.78751772844773e-31,7.73452133057326e-29,61.1198739880591
"A_23_P22444",-2.91439600384613,8.73825856538462,-16.7274217739459,1.85596125847158e-31,7.93029046229173e-29,61.0826695079893
"A_33_P3396008",-3.3763200576923,3.93886208269231,-16.7238020503593,1.88712182006283e-31,7.95045301726264e-29,61.0661834699799
"A_23_P360079",-3.94428080961537,7.73276764903846,-16.7215017540087,1.90719699094736e-31,7.95045301726264e-29,61.0557058857154
"A_23_P142574",-3.33499287692307,4.97326701153846,-16.673187105158,2.38224988453279e-31,9.81113828951619e-29,60.8354802396649
"A_23_P53390",-2.78287701346152,8.81855490673077,-16.6553828427127,2.58591496233325e-31,1.05231346615997e-28,60.7542496297212
"A_24_P104407",-2.31012284423075,8.90439360673077,-16.6385171379323,2.79498242460316e-31,1.12401040259071e-28,60.6772633746717
"A_23_P42802",1.9712000942308,9.27195190288461,16.4929698501493,5.47530688877088e-31,2.17630715556808e-28,60.0113650600259
