"Module","Correlation","PValue"
"MEturquoise",-0.928689570596979,9.71015348987826e-46
"MEgrey",0.924941136700166,1.20378867554894e-44
"MEblue",0.795461360179168,6.39864195401178e-24
"MEbrown",-0.680776633537784,1.85652128400892e-15
